mcc,mnc,dial_no,apn,user,password,carrier,authtype,protocol,roaming_protocol,type
208,10, ,wap66, , ,WAP LeclercMobile, , , ,"default,supl"
208,10, ,mms66, , ,MMS LeclercMobile, , , ,mms
208,10, ,wapnrj, , ,NRJ WAP, , , ,"default,supl"
208,10, ,mmsnrj, , ,NRJ MMS, , , ,mms
208,10, ,fnetnrj, , ,NRJ WEB, , , ,"default,supl"
208,10, ,internetnrj, , ,NRJ Mobile FR Internet, , , ,dun
208,10, ,sl2sfr, , ,SFR Internet Mobile, , , ,"default,supl"
208,10, ,mmssfr, , ,SFR MMS, , , ,mms
208,10, ,websfr, , ,SFR WEB, , , ,"default,dun"
208,10, ,wapsfr,none,none,SFR WAP, , , ,"default,supl"
208,10, ,mmssfr, , ,SFR MMS, , , ,mms
208,10, ,sl2sfr, , ,SFR, , , ,"default,supl"
208,10, ,sl2sfr, , ,SFR Option Modem, , , ,"default,dun"
208,10, ,sl2sfr, , ,SFR MMS, , , ,mms
208,10, ,websfr, , ,ACCESS DATA, , , ,supl
208,10, ,sl2sfr, , ,Internet Joe,0, , ,"default,supl,fota"
208,10, ,wapdebitel, , ,Web La Poste, , , ,"default,supl"
208,10, ,internetcoriolis, , ,Coriolis WEB,0, , ,"default,supl,fota,dun"
208,10, ,wap66, , ,RegloMobile WAP,0, , ,"default,supl,fota,dun"
208,10, ,mms66, , ,RegloMobile MMS,0, , ,mms
208,10, ,internet68, , ,Keyyo Mobile Internet,0, , ,"default,supl,fota,dun"
208,10, ,mms68, , ,Keyyo Mobile MMS,0, , ,mms
208,10, ,wap68, , ,Keyyo Mobile Wap,0, , ,"default,supl,fota"
208,10, ,internet68, , ,internet68, , , ,"default,supl"
208,10, ,wap68, , ,wap68, , , ,"default,supl"
208,10, ,mms68, , ,mms68, , , ,mms
208,10, ,wap65, , ,wap65, , , ,"default,supl"
208,10, ,mms65, , ,mms65, , , ,mms
208,10, ,internet69, , ,internet69,1, , ,"default,supl"
208,10, ,mms69, , ,mms69,1, , ,mms
208,10, ,sl2sfr, , ,Internet Joe, , , ,"default,supl"
208,10, ,mmssfr, , ,MMS Joe,1, , ,mms
208,10, ,websfr, , ,ACCESS DATA, , , ,"default,supl"
208,10, ,wapdebitel, , ,WEB La Poste Mobile, , , ,"default,supl"
208,10, ,mmsdebitel, , ,MMS La Poste Mobile, , , ,mms
208,10, ,wap66, , ,WEB Leclerc Mobile, , , ,"default,supl"
208,10, ,mms66, , ,MMS Leclerc Mobile, , , ,mms
208,10, ,wap62, , ,WAP Mobisud, , , ,"default,supl"
208,10, ,mms62, , ,MMS Mobisud, , , ,mms
208,10, ,wapdebitel, , ,Web La Poste, , , ,"default,supl"
208,10, ,fnetcoriolis, , ,Coriolis Web, , , ,"default,supl"
208,10, ,mmscoriolis, , ,Coriolis MMS, , , ,mms
208,11, ,mmssfr, , ,MMS, , , ,mms
208,11, ,websfr, , ,ACCESS DATA, , , ,"default,supl"
208,13, ,websfr, , ,ACCESS DATA, , , ,"default,supl"
208,13, ,mmssfr, , ,MMS, , , ,mms
208,15, ,free, , ,Free Mobile, , , ,"default,supl"
208,15, ,mmsfree, , ,Free Mobile MMS, , , ,mms
208,17, ,bornsip, , ,Legos, , , ,"default,supl"
208,17, ,bornsipmms, , ,Legos MMS, , , ,mms
208,20, ,mmsbouygtel.com, , ,Bouygues Telecom, , , ,"default,supl,hipri,dun"
208,20, ,a2bouygtel.com,a2b,acces,Bouygues Pro, , , ,"default,supl"
208,20, ,mmsbouygtel.com, , ,Bouygues WAP, , , ,"default,supl"
208,20, ,mmsbouygtel.com, , ,Bouygues MMS, , , ,"default,supl,mms"
208,20, ,mmsbouygtel.com, , ,Web, , , ,"default,supl"
208,20, ,fr.lebara.mobi, , ,Lebara internet, , , ,"default,supl"
208,20, ,numericable.fr, , ,Numericable 3G, , , ,"default,supl"
208,20, ,gprs-service-fr.net, , ,Simyo Web,3, , ,"default,supl"
208,20, ,ip.primetel, , ,PrimeTel, , , ,"default,supl"
208,21, ,ebouygtel.com, , ,BouyguesGPRS ISP, , , ,"default,supl"
208,21, ,mmsbouygtel.com, , ,MMS Bouygues, , , ,mms
208,23, ,virgin-mobile.fr, , ,Virgin FR, , , ,"default,mms"
208,23, ,virgin-mobile.fr, , ,Virgin Mobile, , , ,"default,supl"
208,23, ,virgin-mobile.fr, , ,Virgin MMS, , , ,mms
208,23, ,virgin-mobile.fr, , ,VM WAP, , , ,"default,supl"
208,23, ,virgin-mobile.fr, , ,VM MMS, , , ,mms
208,25, ,data.lycamobile.fr,lmfr,plus,Lycamobile FR, , , ,"default,supl"
208,25, ,data.lycamobile.fr,Imfr,plus,Lyca FR, , , ,Internet
208,26, ,fnetnrj, , ,NRJ WEB, , , ,"default,supl"
208,26, ,mmsnrj, , ,NRJ MMS, , , ,mms
208,26, ,fnetnrj, , ,EI Telecom, , , ,"default,supl"
208,26, ,mmsnrj, , ,EI Telecom MMS, , , ,mms
208,30, ,symacom.fr, , ,Syma, , , ,"default,supl"
208,88, ,ebouygtel.com, , ,BouyguesGPRS ISP, , , ,"default,supl"
208,88, ,mmsbouygtel.com, , ,MMS Bouygues, , , ,mms
209,1, ,ofnew.fr,orange,orange,NRJ WEB, , , ,"default,supl"
214,1, ,airtelwap.es,wap@wap,wap125,Vodafone ES,0, , ,"default,supl"
214,1, ,mms.vodafone.net,wap@wap,wap125,Vodafone ES MMS,0, , ,mms
214,2, ,telefonica.es,telefonica,telefonica,Movistar, , , ,"default,supl"
214,2, ,telefonica.es,telefonica,telefonica,Movistar MMS, , , ,mms
214,2, ,movistar.es,MOVISTAR,MOVISTAR,Movistar, , , ,"dun,default"
214,3, ,orangeworld,orange,orange,Orange Internet M?vil,1, , ,"default,supl"
214,3, ,internet,orange,orange,Orange Internet PC,1, , ,dun
214,3, ,orangemms,orange,orange,Orange MMS,1, , ,mms
214,3, ,inet.es, , ,Suop, , , ,"default,supl"
214,3, ,CARREFOURINTERNET, , ,Carrefour Internet, , , ,"default,supl"
214,3, ,carrefourmms,carrefour,carrefour,Carrefour MMS, , , ,mms
214,3, ,moreinternet, , ,Llamaya Internet, , , ,"default,supl"
214,3, ,moremms, , ,Llamaya MMS, , , ,mms
214,3, ,internetmas, , ,MasMovil Internet, , , ,"default,supl"
214,3, ,int.socialmas, , ,MasMovil 30MB, , , ,"default,supl"
214,3, ,masvidamms,masvidamms,MMSmasvida,MasMovil MMS, , , ,mms
214,3, ,jazzmms, , ,Jazztel MMS, , , ,mms
214,3, ,jazzinternet, , ,Jazztel, , , ,"default,supl"
214,4, ,internet, , ,Yoigo Internet, , , ,"default,supl"
214,4, ,mms, , ,Yoigo MMS, , , ,mms
214,5, ,tuenti.com,tuenti,tuenti,Tuenti, , , ,"default,supl,mms"
214,5, ,tuenti.com,tuenti,tuenti,Tuenti Internet, , , ,"default,supl"
214,5, ,tuenti.com,tuenti,tuenti,Tuenti MMS,1, , ,mms
214,5, ,gprs.pepephone.com, , ,Pepephone 4G Internet, , , ,"default,supl"
214,5, ,gprs.pepephone.com, , ,Pepephone 4G MMS,1, , ,mms
214,6, ,gprsmov.pepephone.com, , ,Pepephone Internet, , , ,"default,supl"
214,6, ,mms.pepephone.com,wap@wap,wap125,Pepephone MMS, , , ,mms
214,6, ,lowi.private.omv.es, , ,Lowi, , , ,"default,supl"
214,6, ,mms.lowi.omv.es,wap@wap,wap125,Lowi MMS, , , ,mms
214,6, ,airtelnet.es,vodafone,vodafone,Vodafone GPRS, , , ,"default,supl"
214,6, ,mms.vodafone.net,wap@wap,wap125,Vodafone MMS, , , ,mms
214,6, ,gprsmov.lebaramobile.es, , ,Lebara Internet, , , ,"default,supl"
214,6, ,mms.lebaramobile.es,wap@wap,wap125,Lebara MMS, , , ,mms
214,6, ,mms.eroskimovil.es,wap@wap,wap124,Eroski Movil MMS, , , ,mms
214,6, ,gprs.eroskimovil.es,wap@wap,wap125,Eroski Internet, , , ,"default,supl"
214,6, ,airtelnet.es,vodafone,vodafone,INTERNET GPRS, , , ,"default,supl"
214,6, ,internet.telecable.es,telecable,telecable,TeleCable Internet, , , ,"default,supl"
214,6, ,mms.telecable.es,telecable,telecable,TeleCable MMS, , , ,mms
214,7, ,telefonica.es,telefonica,telefonica,Movistar, , , ,"default,supl"
214,7, ,movistar.es,MOVISTAR,MOVISTAR,Conexi?n compartida, , , ,"dun,default"
214,7, ,telefonica.es,telefonica,telefonica,Movistar MMS, , , ,mms
214,7, ,jazzmms, , ,Jazztel MMS, , , ,mms
214,7, ,jazzinternet, , ,Jazztel, , , ,"default,supl"
214,8, ,internet.euskaltel.mobi,CLIENTE,EUSKALTEL,Euskaltel, , , ,"default,supl"
214,8, ,euskaltelmms.euskaltel.mobi,MMS,EUSKALTEL,Euskaltel MMS, , , ,mms
214,8, ,gprsmov.lebaramobile.es, , ,Lebara Internet, , , ,"default,supl"
214,8, ,mms.lebaramobile.es,wap@wap,wap125,Lebara MMS, , , ,mms
214,8, ,internet.euskaltel.mobi,CLIENTE,EUSKALTEL,Euskaltel Internet, , , ,"default,supl"
214,8, ,euskaltelmms.euskaltel.mobi,MMS,EUSKALTEL,Euskaltel MMS, , , ,mms
214,16, ,internet.telecable.es,telecable,telecable,TeleCable Internet, , , ,"default,supl"
214,16, ,mms.telecable.es,telecable,telecable,TeleCable MMS, , , ,mms
214,18, ,internet.ono.com, , ,ONO Internet, , , ,"default,supl"
214,18, ,mms.ono.com, , ,ONO MMS, , , ,mms
214,19, ,gprs-service.com, , ,Simyo ES, , , ,"default,supl"
214,19, ,gprs-service.com, , ,Simyo ES MMS, , , ,mms
214,19, ,gprs-service.com, , ,Blau ES, , , ,"default,supl,mms"
214,21, ,jazzinternet, , ,Jazztel, , , ,"default,supl"
214,21, ,jazzmms, , ,Jazztel MMS, , , ,mms
214,21, ,jazzmms, , ,Jazztel MMS, , , ,mms
214,22, ,internet.digimobil.es,digi,digi,Digimobil Internet, , , ,"default,supl"
214,25, ,data.lycamobile.es,lmes,plus,Lycamobile, , , ,"default,supl,mms"
214,27, ,truphone.com, , ,Truphone,1, , ,"default,supl"
214,32, ,tuenti.com,tuenti,tuenti,Tuenti, , , ,"default,supl,mms"
214,32, ,internetmas, , ,Masmovil, , , ,"default,supl"
216,1, ,net, , ,Telenor Net, , , ,"default,supl"
216,1, ,online, , ,Telenor online, , , ,"default,supl"
216,1, ,mms, , ,Telenor MMS, , , ,mms
216,1, ,net, , ,Pannon, , , ,"default,supl"
216,1, ,mms, , ,Pannon MMS, , , ,mms
216,1, ,net, , ,Telenor Net, , , ,"default,supl"
216,30, ,wnw, , ,T-Mobile HU, , , ,"default,supl"
216,30, ,internet, , ,T-Mobile NET GPRS, , , ,"default,supl"
216,30, ,mms,mms,mms,T-Mobile MMS,1, , ,mms
216,30, ,internet.telekom, , ,Telekom HU NET, , , ,"default,supl"
216,30, ,internet.telekom, , ,Telekom HU MMS, , , ,mms
216,70, ,internet.vodafone.net, , ,Vodafone HU, , , ,"default,supl"
216,70, ,vitamax.internet.vodafone.net, , ,VF Internet VitaMax, , , ,"default,supl"
216,70, ,mms.vodafone.net, , ,Vodafone HU MMS, , , ,mms
218,3, ,gprs.eronet.ba, , ,ERONET START, , , ,"default,supl"
218,3, ,web.eronet.ba, , ,ERONET MI 50, , , ,supl
218,3, ,web.eronet.ba, , ,ERONET MI 200, , , ,supl
218,3, ,data1.eronet.ba, , ,ERONET 512, , , ,supl
218,3, ,data4.eronet.ba, , ,ERONET 1GB, , , ,supl
218,3, ,data2.eronet.ba, , ,ERONET 4GB, , , ,supl
218,3, ,data3.eronet.ba, , ,ERONET FLAT, , , ,supl
218,3, ,mms.eronet.ba, , ,ERONET MMS, , , ,mms
218,5, ,3g1, , ,M-tel, , , ,"default,supl"
218,5, ,mtelmms, , ,M-tel mms, , , ,mms
218,90, ,active.bhmobile.ba, , ,BH Mobile, , , ,"default,supl"
218,90, ,mms.bhmobile.ba, , ,BH Mobile MMS, , , ,mms
219,1, ,web.htgprs, , ,T-Mobile HR, , , ,"default,supl"
219,1, ,www.htgprs.hr, , ,TM HR WAP,1, , ,"default,supl"
219,1, ,mms.htgprs, , ,T-Mobile HR MMS, , , ,mms
219,1, ,internet.ht.hr, , ,T-Mobile HR, , , ,"default,supl"
219,2, ,wap.tele2.hr, , ,Tele2 HR, , , ,"default,supl,mms"
219,2, ,wap.tele2.hr, , ,Tele2 HR, , , ,"default,supl,mms"
219,10, ,gprs0.vipnet.hr, , ,VIPnet, , , ,"default,supl"
219,10, ,data.vip.hr,38591,38591,VIPnet, , , ,"default,supl"
219,10, ,mms.vipnet.hr, , ,VIPnet MMS, , , ,mms
220,1, ,internet,telenor,gprs,Telenor RS, , , ,"default,supl"
220,1, ,mms, , ,Telenor RS MMS, , , ,mms
220,2, ,internet,gprs,gprs,Telenor MNE internet, , , ,"default,supl"
220,2, ,mms,mms,mms,Telenor MNE mms, , , ,mms
220,3, ,gprsinternet,mts,64,MTS RS INTERNET, , , ,"default,supl"
220,3, ,gprswap,mts,64,MTS RS, , , ,"default,supl"
220,3, ,mms,mts,64,MTS RS MMS, , , ,mms
220,4, ,tmcg-wnw,38267,38267,T-Mobile Internet,1, , ,"default,supl"
220,4, ,mms,38267,38267,T-Mobile MMS,1, , ,mms
220,5, ,vipmobile.mms,vipmobile,vipmobile,Vip MMS, , , ,mms
220,5, ,vipmobile,vipmobile,vipmobile,Vip GPRS,1, , ,"default,supl"
220,5, ,vipmobile.mms,vipmobile,vipmobile,Vip MMS,1, , ,mms
222,1, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,1, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,1, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
222,1, ,ibox.tim.it, , ,TIM IT, , , ,"default,supl"
222,1, ,wap.tim.it,WAPTIM,WAPTIM,TIM IT WAP, , , ,"default,supl"
222,1, ,mms.tim.it, , ,TIM MMS, , , ,mms
222,1, ,unico.tim.it, , ,iTIM, , , ,mms
222,1, ,tiscalimobileinternet, , ,Tiscali INTERNET, , , ,"default,supl"
222,1, ,tiscalimobilemms, , ,Tiscali MMS, , , ,mms
222,1, ,web.coopvoce.it, , ,COOPVOCE, , , ,"default,supl"
222,1, ,web.coopvoce.it, , ,WEB COOP, , , ,"default,supl"
222,1, ,mms.coopvoce.it, , ,COOP MMS,1, , ,mms
222,1, ,web.noverca.it, , ,NOVERCA WEB, , , ,"default,supl"
222,1, ,mms.noverca.it, , ,NOVERCA MMS, , , ,mms
222,10, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,10, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,10, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
222,11, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,11, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,11, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
222,12, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,12, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,12, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
222,13, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,13, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,13, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
222,14, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,14, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,14, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
222,15, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,15, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,15, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
222,16, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,16, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,16, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
222,17, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,17, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,17, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
222,18, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
222,18, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Internet Modem, , , ,dun
222,18, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS, , , ,mms
